sample_number,position,token_id,token,predicted_class_index,predicted_class_name,output_class_index,output_class_name,signed_shap,abs_shap,is_predicted_class
75,15,10,untuk,1,global,2,money,0.030363673344254494,0.030363673344254494,False
75,15,10,untuk,1,global,3,tekno,0.13902400434017181,0.13902400434017181,False
75,16,8757,mengangkut,1,global,0,bola,0.2544543445110321,0.2544543445110321,False
75,16,8757,mengangkut,1,global,1,global,-0.12690749764442444,0.12690749764442444,True
75,16,8757,mengangkut,1,global,2,money,-0.05492116138339043,0.05492116138339043,False
75,16,8757,mengangkut,1,global,3,tekno,-0.072585828602314,0.072585828602314,False
75,17,4,dan,1,global,0,bola,0.25272077322006226,0.25272077322006226,False
75,17,4,dan,1,global,1,global,-0.17714650928974152,0.17714650928974152,True
75,17,4,dan,1,global,2,money,0.003570140805095434,0.003570140805095434,False
75,17,4,dan,1,global,3,tekno,-0.07546426355838776,0.07546426355838776,False
75,18,2759,menyimpan,1,global,0,bola,-0.10981937497854233,0.10981937497854233,False
75,18,2759,menyimpan,1,global,1,global,-0.063551165163517,0.063551165163517,True
75,18,2759,menyimpan,1,global,2,money,0.008611323311924934,0.008611323311924934,False
75,18,2759,menyimpan,1,global,3,tekno,0.16308994591236115,0.16308994591236115,False
75,19,1357,uranium,1,global,0,bola,-0.042024530470371246,0.042024530470371246,False
75,19,1357,uranium,1,global,1,global,0.029385779052972794,0.029385779052972794,True
75,19,1357,uranium,1,global,2,money,0.0377311110496521,0.0377311110496521,False
75,19,1357,uranium,1,global,3,tekno,-0.026219962164759636,0.026219962164759636,False
75,20,6,yang,1,global,0,bola,-0.12092993408441544,0.12092993408441544,False
75,20,6,yang,1,global,1,global,0.08099091053009033,0.08099091053009033,True
75,20,6,yang,1,global,2,money,0.016919806599617004,0.016919806599617004,False
75,20,6,yang,1,global,3,tekno,0.02168237790465355,0.02168237790465355,False
75,21,4166,diperkaya,1,global,0,bola,0.05148798227310181,0.05148798227310181,False
75,21,4166,diperkaya,1,global,1,global,0.013077964074909687,0.013077964074909687,True
75,21,4166,diperkaya,1,global,2,money,0.0,0.0,False
75,21,4166,diperkaya,1,global,3,tekno,-0.06387834995985031,0.06387834995985031,False
75,22,726,milik,1,global,0,bola,-0.07689378410577774,0.07689378410577774,False
75,22,726,milik,1,global,1,global,-0.011669708415865898,0.011669708415865898,True
75,22,726,milik,1,global,2,money,-0.016283303499221802,0.016283303499221802,False
75,22,726,milik,1,global,3,tekno,0.10417156666517258,0.10417156666517258,False
75,23,8,iran,1,global,0,bola,-0.15532493591308594,0.15532493591308594,False
75,23,8,iran,1,global,1,global,0.20219166576862335,0.20219166576862335,True
75,23,8,iran,1,global,2,money,-0.01813134364783764,0.01813134364783764,False
75,23,8,iran,1,global,3,tekno,-0.02720557525753975,0.02720557525753975,False
75,24,11,ke,1,global,0,bola,0.005243884865194559,0.005243884865194559,False
75,24,11,ke,1,global,1,global,0.10612273961305618,0.10612273961305618,True
75,24,11,ke,1,global,2,money,-0.0340925008058548,0.0340925008058548,False
75,24,11,ke,1,global,3,tekno,-0.07641315460205078,0.07641315460205078,False
75,25,2349,moskwa,1,global,0,bola,-0.13026230037212372,0.13026230037212372,False
75,25,2349,moskwa,1,global,1,global,0.19081686437129974,0.19081686437129974,True
