rank,token_id,token,total_abs_shap,mean_abs_shap,total_abs_predicted_class_shap,mean_abs_predicted_class_shap,mean_signed_predicted_class_shap,occurrence_count,normalized_global_importance
166,114,lagi,0.3423419683240354,0.0489059954748622,0.34756032237783074,0.04965147462540439,-0.04965147462540439,7,0.0012210086242691114
167,106,dua,0.3409308139234781,0.06818616278469562,0.4527011876925826,0.09054023753851652,-0.06385133434087038,5,0.0012159755525084652
168,1804,efek,0.33927060663700104,0.16963530331850052,0.40321429818868637,0.20160714909434319,0.20160714909434319,2,0.0012100542001694957
169,1148,dianggap,0.3390038087964058,0.11300126959880193,0.3980463594198227,0.13268211980660757,-0.020730023582776386,3,0.001209102629826257
170,211,utama,0.3381576519459486,0.1690788259729743,0.28067678213119507,0.14033839106559753,-0.14033839106559753,2,0.0012060846977364505
171,178,akibat,0.3365947976708412,0.0841486994177103,0.26845726650208235,0.06711431662552059,-1.1175638064742088e-05,4,0.0012005105679920782
172,715,kian,0.3360637351870537,0.16803186759352684,0.4258187264204025,0.21290936321020126,-0.21290936321020126,2,0.0011986164622944774
173,5770,nominal,0.3360125944018364,0.1680062972009182,0.2891344875097275,0.14456724375486374,-0.06939960271120071,2,0.0011984340618131464
174,1146,diserang,0.33480648696422577,0.16740324348211288,0.27085479348897934,0.13542739674448967,-0.13542739674448967,2,0.001194132317594267
175,694,pesan,0.33121814392507076,0.08280453598126769,0.4891119014355354,0.12227797535888385,0.04223445737443399,4,0.0011813340100449653
176,67,besar,0.33023566007614136,0.06604713201522827,0.5041293539106846,0.10082587078213692,-0.05232730433344841,5,0.0011778298493993371
177,184,akhir,0.3292141705751419,0.08230354264378548,0.2908370643854141,0.07270926609635353,-0.05448874458670616,4,0.0011741865698551238
178,430,melakukan,0.3288510739803314,0.1644255369901657,0.40352869033813477,0.20176434516906738,0.20176434516906738,2,0.0011728915370670706
179,744,kecelakaan,0.32773638516664505,0.16386819258332253,0.542979896068573,0.2714899480342865,0.053294360637664795,2,0.001168915849652669
180,1624,adanya,0.3264560103416443,0.16322800517082214,0.5793856829404831,0.28969284147024155,-0.28969284147024155,2,0.0011643492208187093
181,192,purbaya,0.32625656574964523,0.16312828287482262,0.6093025729060173,0.30465128645300865,0.1885872818529606,2,0.0011636378748856155
182,438,layanan,0.32551538944244385,0.32551538944244385,0.19180887937545776,0.19180887937545776,0.19180887937545776,1,0.0011609943700076502
183,5577,saudara,0.32414233684539795,0.32414233684539795,0.38135772943496704,0.38135772943496704,-0.38135772943496704,1,0.001156097193448271
184,251,minggu,0.32368744164705276,0.10789581388235092,0.44774731434881687,0.14924910478293896,-0.05692507637043794,3,0.0011544747486074087
185,246,penuh,0.3221011832356453,0.10736706107854843,0.4609431251883507,0.15364770839611688,0.05862866590420405,3,0.0011488171448665353
186,353,menegaskan,0.321142315864563,0.321142315864563,0.5434682965278625,0.5434682965278625,-0.5434682965278625,1,0.0011453972155620641
187,120,pengguna,0.32096074521541595,0.10698691507180531,0.6270302981138229,0.20901009937127432,0.20901009937127432,3,0.0011447496194475473
188,1439,angkatan,0.3205549269914627,0.16027746349573135,0.4367170184850693,0.21835850924253464,0.21835850924253464,2,0.0011433022142294308
189,609,gen,0.3202260434627533,0.16011302173137665,0.2873952388763428,0.1436976194381714,0.1436976194381714,2,0.0011421292069382122
190,470,tempur,0.3196089044213295,0.1065363014737765,0.5033287778496742,0.16777625928322473,0.13140733788410822,3,0.001139928097633266
191,259,klaim,0.3181305378675461,0.15906526893377304,0.4368593096733093,0.21842965483665466,-0.07223352789878845,2,0.0011346553046980685
192,5119,konsesi,0.3152485564351082,0.1576242782175541,0.3964768350124359,0.19823841750621796,0.19823841750621796,2,0.001124376330720039
193,34,mulai,0.3135441169142723,0.05225735281904539,0.2835590625181794,0.047259843753029905,-0.03607841472451886,6,0.001118297218174551
194,281,penting,0.3123374320566654,0.1041124773522218,0.07666561380028725,0.02555520460009575,0.02555520460009575,3,0.0011139934145096776
195,1430,facebook,0.31129519268870354,0.10376506422956784,0.46691591665148735,0.15563863888382912,0.15563863888382912,3,0.001110276127777162
196,1423,memilih,0.311057984828949,0.311057984828949,0.20781438052654266,0.20781438052654266,-0.20781438052654266,1,0.001109430094076057
197,14339,dicari,0.31093037128448486,0.15546518564224243,0.26459942758083344,0.13229971379041672,0.13229971379041672,2,0.0011089749432246232
198,1449,tinggalkan,0.30927831679582596,0.10309277226527531,0.6057841461151838,0.20192804870506129,0.18428688310086727,3,0.0011030826689344148
199,205,itu,0.30811066180467606,0.10270355393489201,0.469186432659626,0.15639547755320868,0.06376464416583379,3,0.001098918070531991
200,886,bagian,0.30803151428699493,0.15401575714349747,0.2746196836233139,0.13730984181165695,0.0006994530558586121,2,0.001098635780276574
201,216,banyak,0.3076298087835312,0.1538149043917656,0.2269689440727234,0.1134844720363617,0.1134844720363617,2,0.0010972030436286345
